,GEO,DATE,VALUE
0,Alberta,2012,127.05882352941177
1,Alberta,2013,121.11111111111111
2,Alberta,2014,137.94117647058823
3,Alberta,2015,133.61111111111111
4,Alberta,2016,137.1875
5,Alberta,2017,157.05882352941177
6,Alberta,2018,162.35294117647058
7,Alberta,2019,169.41176470588235
8,Alberta,2020,152.35294117647058
9,Alberta,2021,184.6875
10,British Columbia,2012,174.7058823529412
11,British Columbia,2013,184.41176470588235
12,British Columbia,2014,188.8235294117647
13,British Columbia,2015,176.25
14,British Columbia,2016,198.52941176470588
15,British Columbia,2017,193.23529411764707
16,British Columbia,2018,203.8235294117647
17,British Columbia,2019,232.8125
18,British Columbia,2020,195.33333333333334
19,British Columbia,2021,219.0
20,Manitoba,2012,49.333333333333336
21,Manitoba,2013,45.0
22,Manitoba,2014,45.666666666666664
23,Manitoba,2015,47.142857142857146
24,Manitoba,2016,48.57142857142857
25,Manitoba,2017,44.375
26,Manitoba,2018,50.3125
27,Manitoba,2019,65.38461538461539
28,Manitoba,2020,49.333333333333336
29,Manitoba,2021,57.0
30,New Brunswick,2012,27.857142857142858
31,New Brunswick,2013,31.0
32,New Brunswick,2014,29.615384615384617
33,New Brunswick,2015,34.0
34,New Brunswick,2016,36.470588235294116
35,New Brunswick,2017,30.357142857142858
36,New Brunswick,2018,35.666666666666664
37,New Brunswick,2019,31.785714285714285
38,New Brunswick,2020,37.30769230769231
39,New Brunswick,2021,44.642857142857146
40,Newfoundland and Labrador,2012,20.0
41,Newfoundland and Labrador,2013,25.666666666666668
42,Newfoundland and Labrador,2014,21.923076923076923
43,Newfoundland and Labrador,2015,26.785714285714285
44,Newfoundland and Labrador,2016,26.333333333333332
45,Newfoundland and Labrador,2017,23.75
46,Newfoundland and Labrador,2018,23.0
47,Newfoundland and Labrador,2019,26.0
48,Newfoundland and Labrador,2020,24.23076923076923
49,Newfoundland and Labrador,2021,28.46153846153846
50,Northwest Territories,2012,1.4285714285714286
51,Northwest Territories,2013,1.4285714285714286
52,Northwest Territories,2014,2.142857142857143
53,Northwest Territories,2015,0.8333333333333334
54,Northwest Territories,2016,0.8333333333333334
55,Northwest Territories,2017,0.8333333333333334
56,Northwest Territories,2018,0.8333333333333334
57,Northwest Territories,2019,1.6666666666666667
58,Northwest Territories,2020,1.0
59,Northwest Territories,2021,2.857142857142857
60,Nova Scotia,2012,41.666666666666664
61,Nova Scotia,2013,41.0
62,Nova Scotia,2014,42.0
63,Nova Scotia,2015,46.470588235294116
64,Nova Scotia,2016,47.5
65,Nova Scotia,2017,39.6875
66,Nova Scotia,2018,40.625
67,Nova Scotia,2019,47.5
68,Nova Scotia,2020,0.0
69,Nova Scotia,2021,0.0
70,Nunavut,2012,0.8333333333333334
71,Nunavut,2013,0.8333333333333334
72,Nunavut,2014,0.0
73,Nunavut,2015,0.8333333333333334
74,Nunavut,2016,0.8333333333333334
75,Nunavut,2017,0.8333333333333334
76,Nunavut,2018,0.0
77,Nunavut,2019,1.6666666666666667
78,Nunavut,2020,1.0
79,Nunavut,2021,0.0
80,Ontario,2012,539.1176470588235
81,Ontario,2013,517.5
82,Ontario,2014,539.4444444444445
83,Ontario,2015,536.9444444444445
84,Ontario,2016,555.2777777777778
85,Ontario,2017,558.6111111111111
86,Ontario,2018,578.6111111111111
87,Ontario,2019,627.6470588235294
88,Ontario,2020,540.0
89,Ontario,2021,665.0
90,Prince Edward Island,2012,6.111111111111111
91,Prince Edward Island,2013,6.111111111111111
92,Prince Edward Island,2014,4.375
93,Prince Edward Island,2015,6.111111111111111
94,Prince Edward Island,2016,4.375
95,Prince Edward Island,2017,5.5
96,Prince Edward Island,2018,5.5
97,Prince Edward Island,2019,8.0
98,Prince Edward Island,2020,6.666666666666667
99,Prince Edward Island,2021,8.125
100,Quebec,2012,374.11764705882354
101,Quebec,2013,363.6111111111111
102,Quebec,2014,369.72222222222223
103,Quebec,2015,373.6111111111111
104,Quebec,2016,389.1666666666667
105,Quebec,2017,393.8235294117647
106,Quebec,2018,0.0
107,Quebec,2019,0.0
108,Quebec,2020,0.0
109,Quebec,2021,0.0
110,Saskatchewan,2012,37.1875
111,Saskatchewan,2013,42.64705882352941
112,Saskatchewan,2014,38.666666666666664
113,Saskatchewan,2015,37.666666666666664
114,Saskatchewan,2016,42.857142857142854
115,Saskatchewan,2017,40.714285714285715
116,Saskatchewan,2018,45.3125
117,Saskatchewan,2019,47.1875
118,Saskatchewan,2020,36.15384615384615
119,Saskatchewan,2021,43.57142857142857
120,Yukon,2012,0.8333333333333334
121,Yukon,2013,0.8333333333333334
122,Yukon,2014,1.4285714285714286
123,Yukon,2015,2.142857142857143
124,Yukon,2016,2.142857142857143
125,Yukon,2017,2.5
126,Yukon,2018,2.142857142857143
127,Yukon,2019,1.6666666666666667
128,Yukon,2020,1.0
129,Yukon,2021,2.5
